Index,Category,Claim
1429,Claims about prominent actors,"“Bill and Melinda gates Foundation & others predicted up to 65 million deaths via coronavirus – in simulation ran 3 months ago”		"
1430,"Vaccines, medical treatments, and tests","KNUST students discover vaccine for coronavirus and cure patient in Côte d’Ivoire.		"
1431,Virus transmission,"Coronavirus was spread via bananas		"
1432,Community spread and impact,"A video that claims to feature one of the victims of the new coronavirus.		"
1433,Medical advice and self-treatments,"Drinking a bleach solution will prevent you from getting the coronavirus.		"
1434,Claims about prominent actors,"“Clorox bottle claimed it could kill (the 2019 coronavirus)… before it was developed.”		"
1435,Community spread and impact,"“Coronavirus, nasa Pilipinas na (coronavirus, already in the Philippines)” – (Jan. 28)		"
1436,Community spread and impact,"A positive case of the 2019 novel coronavirus was “confirmed” to be found in Cebu province.		"
1437,Medical advice and self-treatments,"A video shows the effects of coronavirus and suggest people avoid ice cream and cold drinks for 90 days.		"
1438,Virus transmission,"The novel coronavirus (2019-nCoV) “will not last long” in the Philippines because of its warm climate.		"
1439,Virus origin and properties,"Two Filipinos ate bat soup in Wuhan, China, the epicenter of the 2019 novel coronavirus (nCoV), as seen in a video uploaded on Facebook.		"
1440,Community spread and impact,"The following statement by a Wuhan nurse: “Don’t go out, don’t go to parties, don’t eat out, there are 98.000 infected not 2.700?”		"
1441,"Vaccines, medical treatments, and tests","A Saudi Arabian study for a MERS vaccine is linked to the outbreak of coronavirus.		"
1442,Virus transmission,"Post claims food products such as rice, fortune cookies, mi goreng noodles, ice tea and “Chinese red bull” are contaminated with coronavirus in Australia. Also some areas of Sydney are supposedly identified as contaminated.		"
1443,Community spread and impact,"Food and locations are contaminated in Australia.		"
1444,Community spread and impact,"This woman in Malaysia died of coronavirus.		"
1445,Medical advice and self-treatments,"Water used in an islamic ablution ritual can kill the novel coronavirus.		"
1446,"Public authority actions, policy, and communications","The Indian health department has issued a notification advising people to drink only 50-80 ml of water, avoid spicy food, and not travel in crowded spaces till March 2020.		"
1447,Community spread and impact,"Coronavirus spreads in Ecuadorian cities (Quito – Guayaquil).		"
1448,"Public authority actions, policy, and communications","The Health Authority confirmed 3 cases of the 2019 coronavirus in the country.		"
1449,Community spread and impact,"10,000 people have died in Wuhan, China.		"
1450,Conspiracy theories,"A “Chinese spy team” working in a Canadian government lab sent “pathogens to the Wuhan facility” prior to the coronavirus outbreak.		"
1451,Virus origin and properties,"Video of Wuhan market with dogs, snakes, rats and bats…		"
1452,Community spread and impact,"Close-up of a bat soup bowl that is eaten in Wuhan, or elsewhre in China.		"
1453,Virus origin and properties,"This video shows a woman eating a bat soup in Wuhan.		"
1454,Virus origin and properties,"This video shows a man eating a bat soup in a restaurant in China.		"
1455,Virus origin and properties,"Filipinos are eating a bat soup in Wuhan.		"
1456,Virus origin and properties,"Bat market and bat meat being sold in Wuhan.		"
1457,Community spread and impact,"An explosion that occurred in Wuhan, China, is tied to the coronavirus outbreak.		"
1458,Conspiracy theories,"Spreading coronavirus is the interest of the USA, because American laboratories are operating not only around Russia but in the surroundings of Asian countries and in Georgia (Lugar lab).		"
1459,Community spread and impact,"Event 201 “gave out stuffed souvenir coronavirus toys” to “commemorate” novel coronavirus outbreak.		"
1460,Community spread and impact,"10,000 people have died in Wuhan, China.		"
1461,Conspiracy theories,"China “stole coronavirus from Canada and weaponized it into a Bioweapon.”		"
1462,Conspiracy theories,"The Chinese Communist Party “will finally admit that the real source of the coronavirus is from ‘a lab in Wuhan’ linked to its covert biological weapon programs.”		"
1463,Medical advice and self-treatments,"A post says the coronavirus can be slowed or stopped with the “immediate widespread use of high doses of vitamin C.”		"
1464,Community spread and impact,"A “patient tested positive” for the 2019 novel coronavirus (nCoV) at the Makati Medical Center.		"
1465,Community spread and impact,"Videos of people infected with the new coronavirus in China.		"
1466,Community spread and impact,"The novel coronavirus has reached Cebu province and Boracay Island, which are popular tourists destinations.		"
1467,"Public authority actions, policy, and communications","Ukrainian media registred the first confirmed case of the new coronavirus.		"
1468,Conspiracy theories,"“In ‘Resident Evil’ the Umbrella Corporation releases a virus that infects the people of Raccoon City. A biological research lab with the exact same logo as the Umbrella Corporation can be found in the city where the coronavirus outbreak originated.”		"
1469,Virus origin and properties,"Video shows a woman eating a bat soup in Wuhan.		"
1470,Community spread and impact,"Close-up of a bat soup bowl eaten in Wuhan, or elsewhere in China.		"
1471,Virus origin and properties,"This video shows a woman eating a bat soup in Wuhan.		"
1472,Virus origin and properties,"This video shows a man eating a bat soup in a restaurant in China.		"
1473,Virus origin and properties,"Filipinos are eating a bat soup in Wuhan.		"
1474,Virus origin and properties,"Bat market and bat meat are being sold in Wuhan.		"
1475,Virus origin and properties,"Video of Wuhan market with dogs, snakes, rats and bats.		"
1476,Medical advice and self-treatments,"The coronavirus can be slowed or stopped with the “immediate widespread use of high doses of vitamin C.”		"
1477,Medical advice and self-treatments,"The coronavirus can be slowed or stopped with the “immediate widespread use of high doses of vitamin C.”		"
1478,Virus origin and properties,"This video shows the Wuhan market where the virus comes from.		"
1479,"Public authority actions, policy, and communications","Queensland issued travel warning for Wuhan and Chinese-populated areas in Australia.		"
1480,Virus origin and properties,"Coronavirus is a type of rabies.		"
1481,Community spread and impact,"There is a Chinese patient at the Hi-Precision Diagnostics clinic in Alabang, Philippines, who was tested positive for the novel coronavirus or 2019 nCoV.		"
1482,Virus origin and properties,"The 2019 novel coronavirus (nCoV) is a “type of rabies” that can be contracted by eating bats.		"
1483,Claims about prominent actors,"The coronavirus is patented by Pirbright University.		"
1484,Conspiracy theories,"Chinese scientists expelled from a Canadian microbiology lab took the novel coronavirus strain with them to China.		"
1485,Claims about prominent actors,"Authorities have identified that the international chemical-warfare terrorist ‘Samuel Whitcomb Hyde’ is behind the deadly China ‘coronavirus.’”		"
1486,Medical advice and self-treatments,"A spray could protect against the coronavirus outbreak.		"
1487,Community spread and impact,"A tabletop exercise using a model of the current outbreak “predicted” 65 million people could die from the coronavirus.		"
1488,Community spread and impact,"Doctors said the entire Wuhan population will die of the novel coronavirus.		"
1489,"Public preparedness, protests, and civil disobedience","A Chinese person, who was taken from Kansai airport (in Osaka, Japan) to a hospital, has run away before they could be tested.		"
