,Claim,Keywords
1150,Weed kills the coronavirus   ,"['weed', 'kill', 'coronavirus']"
1151,Chinese government requests the Supreme People s Court for permission to kill        coronavirus patients to stop the spread of the disease  ,"['chinese', 'government', 'request', 'supreme', 'people', 'court', 'permission', 'kill', 'coronavirus', 'patient', 'stop', 'spread', 'disease']"
1152,Bats responsible for the outbreak of coronavirus originated from the rooftop of a house in Wuhan   ,"['responsible', 'outbreak', 'coronavirus', 'originated', 'rooftop', 'house', 'wuhan']"
1153,Using cocaine kills the coronavirus  ,"['using', 'cocaine', 'kill', 'coronavirus']"
1154,Philippines has issued an order mandating a compulsory quarantine for all travelers returning from    countries   ,"['philippine', 'issued', 'order', 'mandating', 'compulsory', 'quarantine', 'traveler', 'returning', 'country']"
1155,USPS stops accepting items for China and Hong Kong  ,"['usps', 'stop', 'accepting', 'item', 'china', 'hong', 'kong']"
1156,In Japan  Okinawa Prefecture Governor Tamaki Denny was seen Kachashi dancing with the mayor of Nanjo City  It was reported that  the governor and the mayor danced while the people were terrified about the new coronavirus infection    ,"['japan', 'okinawa', 'prefecture', 'governor', 'tamaki', 'denny', 'seen', 'kachashi', 'dancing', 'mayor', 'nanjo', 'city', 'reported', 'governor', 'mayor', 'danced', 'people', 'terrified', 'coronavirus', 'infection']"
1157,Police publicly kill a coronavirus infected woman in China   ,"['police', 'publicly', 'kill', 'coronavirus', 'infected', 'woman', 'china']"
1158,Coronavirus cases reported in Rome  Georgia   ,"['coronavirus', 'case', 'reported', 'rome', 'georgia']"
1159, THE CHINESE HAVE BEGUN TO USE THEIR HUMAN CORPSE TO PROCESS INTO PRODUCTS SUCH AS CORNED BEEF TO SHIP TO AFRICA  Please share with your contacts  Very important   ,"['chinese', 'have', 'begun', 'their', 'human', 'corpse', 'process', 'into', 'product', 'such', 'corned', 'beef', 'ship', 'africa', 'please', 'share', 'contact', 'very', 'important']"
1160,Chinese elderly couple infected with coronavirus says goodbye while they are in a hospital   ,"['chinese', 'elderly', 'couple', 'infected', 'coronavirus', 'goodbye', 'hospital']"
1161,COVID    is officially found in bats   ,"['covid', 'officially', 'found']"
1162,Photos show a Chinese man eating  human baby soup  have circulated on social networking platforms  He is seen sitting at a table with a stillborn baby served in front of him   ,"['photo', 'show', 'chinese', 'eating', 'human', 'baby', 'soup', 'circulated', 'social', 'networking', 'platform', 'seen', 'sitting', 'table', 'stillborn', 'baby', 'served', 'front']"
1163,Silver Solution used on strains of coronavirus  totally eliminates it  Kills it  Deactivates it    ,"['silver', 'solution', 'used', 'strain', 'coronavirus', 'totally', 'eliminates', 'kill', 'deactivates']"
1164,COVID    is more deadly than Ebola or HIV   ,"['covid', 'deadly', 'ebola']"
1165,The Chinese supreme court OK d euthanasia for        people                 ,"['chinese', 'supreme', 'court', 'euthanasia', 'people']"
1166,Videos state that        Chinese are being killed   ,"['video', 'state', 'chinese', 'killed']"
1167,People in Wuhan are locked inside their houses by the Chinese government   ,"['people', 'wuhan', 'locked', 'inside', 'house', 'chinese', 'government']"
1168,People are lying on the ground in China because they contracted the coronavirus   ,"['people', 'lying', 'ground', 'china', 'contracted', 'coronavirus']"
1169, Breaking  UK prepares for full lockdown after hundreds of new cases   Wuhan super virus updates    ,"['breaking', 'prepares', 'full', 'lockdown', 'hundred', 'case', 'wuhan', 'super', 'virus', 'update']"
1170,A Chinese pirate movie called  Coronavirus  is sold in Mexico City   ,"['chinese', 'pirate', 'movie', 'called', 'coronavirus', 'sold', 'mexico', 'city']"
1171,Coronavirus infected chicken has been found in Bengaluru  India   ,"['coronavirus', 'infected', 'chicken', 'found', 'bengaluru', 'india']"
1172,Hong Kong police are misappropriating face masks for personal use   ,"['hong', 'kong', 'police', 'misappropriating', 'face', 'mask', 'personal']"
1173,This photo shows a new coronavirus case in New South Wales   ,"['this', 'show', 'coronavirus', 'case', 'south', 'wale']"
1174,Green chiratta can prevent COVID      ,"['green', 'chiratta', 'prevent', 'covid']"
1175,China officially said the new coronavirus had  confirmed aerosol infection  and that  in short  airborne infections  were spread   ,"['china', 'officially', 'said', 'coronavirus', 'confirmed', 'aerosol', 'infection', 'short', 'airborne', 'infection', 'spread']"
1176,Satellite images show high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus   ,"['satellite', 'image', 'show', 'high', 'level', 'sulphur', 'dioxide', 'china', 'possible', 'evidence', 'mass', 'cremation', 'people', 'died', 'coronavirus']"
1177,Ecuadorean doctor saves lifes during the Wuhan crisis   ,"['ecuadorean', 'doctor', 'save', 'life', 'wuhan', 'crisis']"
1178,Special prayer is organized by the Muslim community in China to save people from coronavirus   ,"['special', 'prayer', 'organized', 'muslim', 'community', 'china', 'save', 'people', 'coronavirus']"
1179,Can cannabis cure coronavirus   ,"['cannabis', 'cure', 'coronavirus']"
1180,Garlic water can cure novel coronavirus   ,"['garlic', 'water', 'cure', 'novel', 'coronavirus']"
1181,A woman infected with the coronavirus was killed by Chinese police   ,"['woman', 'infected', 'coronavirus', 'killed', 'chinese', 'police']"
1182,An Ecuadorian doctor saves lives during the Wuhan crisis   ,"['ecuadorian', 'doctor', 'save', 'life', 'wuhan', 'crisis']"
1183,A coronavirus infected girl was admitted to Badulla Hospital in Sri Lanka   ,"['coronavirus', 'infected', 'girl', 'admitted', 'badulla', 'hospital', 'lanka']"
1184,Ginger ale is an effective cure for the      novel coronavirus   ,"['ginger', 'effective', 'cure', 'novel', 'coronavirus']"
1185,The Department of Health  DOH  and the Bureau of Immigration  BI   issued a lookout bulletin  for the  arrest and detention  of a Chinese man who  escaped the quarantine area  of the Ninoy Aquino International Airport  NAIA    ,"['department', 'health', 'bureau', 'immigration', 'issued', 'lookout', 'bulletin', 'arrest', 'detention', 'chinese', 'escaped', 'quarantine', 'area', 'ninoy', 'aquino', 'international', 'airport', 'naia']"
1186,Lysol disinfectant label says it s tested against the new coronavirus   ,"['lysol', 'disinfectant', 'label', 'tested', 'coronavirus']"
1187,A video shows people screaming in Wuhan because they feared the coronavirus   ,"['show', 'people', 'screaming', 'wuhan', 'feared', 'coronavirus']"
1188,Kazakhstanis burned and smashed Chinese restaurants and homes because of the spread of coronavirus in the country   ,"['kazakhstani', 'burned', 'smashed', 'chinese', 'restaurant', 'home', 'spread', 'coronavirus', 'country']"
1189,Autopsy reveals a Wuhan doctor was murdered in his sickbed   ,"['autopsy', 'reveals', 'wuhan', 'doctor', 'murdered', 'sickbed']"
1190,The new coronavirus  causes sudden death syndrome    ,"['coronavirus', 'cause', 'sudden', 'death', 'syndrome']"
1191,Cannibalism in China has caused the outbreak of a new strain of the coronavirus  A Chinese man is preparing a dead baby for consumption   ,"['cannibalism', 'china', 'caused', 'outbreak', 'strain', 'coronavirus', 'chinese', 'preparing', 'dead', 'baby', 'consumption']"
1192,Thai department of health published an infographic on how to properly wear face masks   ,"['thai', 'department', 'health', 'published', 'infographic', 'properly', 'wear', 'face', 'mask']"
1193,A video shows the cause of COVID      ,"['show', 'cause', 'covid']"
1194,A video shows COVID    patients in China   ,"['show', 'covid', 'patient', 'china']"
1195,The Asterix comic books and The Simpsons predicted the coronavirus outbreak   ,"['asterix', 'comic', 'book', 'simpson', 'predicted', 'coronavirus', 'outbreak']"
1196,China seeks court approval to kill over        coronavirus patients to stop the spread of the outbreak   ,"['china', 'seek', 'court', 'approval', 'kill', 'coronavirus', 'patient', 'stop', 'spread', 'outbreak']"
1197,Chinese President Xi Jinping visited a mosque amid the coronavirus outbreak and asked the people of the Muslim community to pray about present crisis   ,"['chinese', 'president', 'jinping', 'visited', 'mosque', 'amid', 'coronavirus', 'outbreak', 'asked', 'people', 'muslim', 'community', 'pray', 'present', 'crisis']"
1198,There is a patent for the new coronavirus   ,"['there', 'patent', 'coronavirus']"
1199,Weed  cannabis  cures coronavirus   ,"['weed', 'cannabis', 'cure', 'coronavirus']"
1200,China is planning to kill coronavirus patients   ,"['china', 'planning', 'kill', 'coronavirus', 'patient']"
1201,Sanitizer manufacturer Dettol knew about the new coronavirus before it was reported   ,"['sanitizer', 'manufacturer', 'dettol', 'knew', 'coronavirus', 'reported']"
1202,China has sought to kill        coronavirus patients to control the spread of the virus   ,"['china', 'sought', 'kill', 'coronavirus', 'patient', 'control', 'spread', 'virus']"
1203,Tencent claims that over        patients have died in China   ,"['tencent', 'claim', 'patient', 'died', 'china']"
1204,Chinese Premier Li Keqiang had dinner in Wuhan during the epidemic   ,"['chinese', 'premier', 'keqiang', 'dinner', 'wuhan', 'epidemic']"
1205,The Dettol disinfectant label says COVID    was tested   ,"['dettol', 'disinfectant', 'label', 'covid', 'tested']"
1206,Xi Jinping visits a mosque for coronavirus   ,"['jinping', 'visit', 'mosque', 'coronavirus']"
1207,China asks for permission to kill        infected cases   ,"['china', 'asks', 'permission', 'kill', 'infected', 'case']"
1208,Vitamin C stops or slows novel coronavirus   ,"['vitamin', 'stop', 'slows', 'novel', 'coronavirus']"
1209,China is seeking court s approval to kill all who tested positive with coronavirus   ,"['china', 'seeking', 'court', 'approval', 'kill', 'tested', 'positive', 'coronavirus']"
1210,The label on Dettol disinfectant spray claims it is proven to  kill coronavirus   the company knew about the new strain since        ,"['label', 'dettol', 'disinfectant', 'spray', 'claim', 'proven', 'kill', 'coronavirus', 'company', 'knew', 'strain', 'since']"
1211,Woman eats bat soup contaminated with coronavirus in China   ,"['woman', 'eats', 'soup', 'contaminated', 'coronavirus', 'china']"
1212,People infected with coronavirus die in the street while doctors travel through the infection zone   ,"['people', 'infected', 'coronavirus', 'street', 'doctor', 'travel', 'infection', 'zone']"
1213,Coronavirus discovered In broiler chicken   ,"['coronavirus', 'discovered', 'broiler', 'chicken']"
1214,Several posts say that coronavirus deaths are linked to  G technology   ,"['several', 'post', 'coronavirus', 'death', 'linked', 'technology']"
1215,The new coronavirus can be cured with a bowl of garlic water   ,"['coronavirus', 'cured', 'bowl', 'garlic', 'water']"
1216,Boiled garlic water can protect from COVID      ,"['boiled', 'garlic', 'water', 'protect', 'covid']"
1217,Tinospira crispa plants can treat COVID      ,"['tinospira', 'crispa', 'plant', 'treat', 'covid']"
1218,There is a case of COVID    in Alberta  Canada  on          ,"['there', 'case', 'covid', 'alberta', 'canada']"
1219,A study is linked to coronavirus   ,"['study', 'linked', 'coronavirus']"
1220,Coronavirus has infected broiler chicken   ,"['coronavirus', 'infected', 'broiler', 'chicken']"
1221,Cow urine cures coronavirus   ,"['urine', 'cure', 'coronavirus']"
1222,   Chinese Prime Minister Li Keqiang visited a mosque and seek protection to the country from coronavirus     Chinese president Xi Jinping visited a mosque in China after realizing the fact that only Allah can save China from this epidemic                 ,"['chinese', 'prime', 'minister', 'keqiang', 'visited', 'mosque', 'seek', 'protection', 'country', 'coronavirus', 'chinese', 'president', 'jinping', 'visited', 'mosque', 'china', 'realizing', 'fact', 'allah', 'save', 'china', 'epidemic']"
1223,Chinese prime minister visits a mosque following the coronavirus outbreak   ,"['chinese', 'prime', 'minister', 'visit', 'mosque', 'following', 'coronavirus', 'outbreak']"
1224,The novel coronavirus contains  pShuttle SN  sequence  proving laboratory origin   ,"['novel', 'coronavirus', 'contains', 'pshuttle', 'sequence', 'proving', 'laboratory', 'origin']"
1225,Label on disinfectant says the new coronavirus strain is not new   ,"['label', 'disinfectant', 'coronavirus', 'strain']"
1226,Weed  slang for the cannabis plant  can  kill coronavirus    ,"['weed', 'slang', 'cannabis', 'plant', 'kill', 'coronavirus']"
1227,Sri Lanka has eradicated coronavirus   ,"['lanka', 'eradicated', 'coronavirus']"
1228,A photo shows a Japanese medical professional providing aid in Wuhan   ,"['show', 'japanese', 'medical', 'professional', 'providing', 'wuhan']"
1229,        people are infected with the new coronavirus in China   ,"['people', 'infected', 'coronavirus', 'china']"
